document_id,clean_text,sentiment
1,this is what hollywood needs a great story with a great directorproducer after that the best thing a studio can do is get the hell out of the way and let artists create artdune part is creative beautiful tragic and mesmerizing never once did i get bored or anticipate what was going to happen next i havent read the book so i have nothing to compare it todenis villeneuve continues to amaze me with the effort he puts into each of his films the acting in this film was top notch too we saw it in imax and the sound was earth shattering if youre gonna see this movie see it on the largest screen possible,positive
2,im going to write this as a review for both dune movies so ill include my thoughts about dune part one throughout for me the most difficult part about rating these movies is trying to judge them as they stand on their own without comparing them to the original bookas movies i think both are great the cinematography is amazing the sound design is good the acting is good i liked the visual style and how they interpreted the various technologies of the world of dune the soundtrack is good it can be a little overbearing at times but the music in part two felt like an improvement on this from part one one of the biggest complaints people had with both movies is the pacing saying that the first movie was dragging and the second was rushing i agree with the sentiments about the latter but personally i enjoyed the slower pacing of the first dune movie the second movie definitely moves quickly through its first half then it slows down a lot in the second half before rushing to its conclusionthe casting is good for the most part i personally disagree with casting rebecca ferguson but ill get into that more later in the first movie i wasnt especially impressed with timothe chalamet as paul but i think he does better in the role in the second part jason momoa was a perfect pick for duncan idaho and oscar isaac did a great job as duke leto stellan skarsgard was a good choice for baron harkonnen but i think he could have been written better i was really looking forward to seeing christopher walken as the emperor shaddam but unfortunately he felt pretty lifeless and didnt bring very much energy to the scenes he was inoverall as they stand on their own the dune movies are great films i dont know if id call them the defining scifi movies of the st century like other people are saying but theyre still very good definitely rewatchable and i would recommend themnow moving on to comparing them to the books because once you start doing that you get to the more disappointing side of these movies one of the biggest issues with both movies especially the second is that they almost completely leave out the ecological message of the book this is a book that has been used as a textbook in environmental science classes but i guess the filmmakers decided that message wasnt important enough the fremen are shown to be working towards terraforming dune into a green world slowly but surely making wind traps and planting grasses to fix the dunes in place its a goal that they are working towards with total commitment even though they know that it wont be realized for several generations thats a powerful message that i think a lot more people need to hear nowadays especially in reference to the issue of climate change the movie barely mentions this goal at all which i think is a disservice to the original story and it diminishes the fremen as charactersi think the fundamental issue that these movies have with their adaptations is an understandable one but that it couldve been solved in a better way the main issue with adapting the book is that the characters are very difficult to relate to most of them are superhumans who have insane abilities for the movies a lot of the main characters are altered to make them more relatable to the audience which is an understandable change for some characters this greatly improves them from the book such as duncan idaho and duke leto for others like chani and jessica it reduces the strength of their characters which ill explain more lateradditionally the book has a lot of complex concepts and story plots that it never stops to fully explain to the reader youre just supposed to pick it up as you go along and reread it to understand making it a little obtuse dune is very dialogueheavy with a lot of the action happening in the background or only described briefly to remedy this the movies remove some of the more complex topics and add more action scenes which are exciting and well choreographed but in the second movie they start feeling repetitive and redundant and they overpower the more intricate plot pointswhile the first movie cleverly managed to insert a lot of exposition without feeling like it was constantly lore dumping part two feels like its more afraid to explain things than the first possibly because of complaints that nothing happened in the first movie the result of this is that the second movie is much more actionheavy but it still wants to include the complex topics from the book so what we get is a bunch of action sequences with scenes of political complexities strung in between them but without the full explanations necessary to clarify them its easy to understand why people who havent read the books would feel confused by this the movie barely takes the time to explain whats happening before its moving on to the next scene of fremen blowing up spice haulersgetting into direct comparisons to the book now and starting with the first movie my two biggest issues with the first movie was how they changed jessica and how they dumbed down the mentats starting with mentats they are a hugely important part of all of the dune books thufir hawat is essentially a main character in the first book and peter de vries is a terrifying mastermind behind the harkonnen plans part of what triggers pauls first vision of the coming jihad in his name is that his mother tells him he was trained as a mentat from birth without his knowledge in the movie the word mentat is never said once pauls mentat training isnt brought up thufir hawat is just a guy who rolls his eyes back in his head says something smart and then disappears at the halfway mark and peter de vries dies of poisoning how disappointingbut what i think is the worse change that they made from the book is how they changed jessicas character while the dune books get much more feminist as they go on the first book has very few female characters however jessica makes for a very strong main character she has complete control over her mind and body and through her bene gesserit training she has almost superhuman strength speed and can control others with the voice her internal monologue also shows that shes almost always two steps ahead of everyone except paul in the movies jessica feels much weaker in the first movie shes almost always crying or on the verge of tears which makes it a lot believable when she starts killing harkonnens with her bear hands and it makes the scene in the tent when paul gets his vision the only part of the book where jessica openly grieves much less powerfulmoving on to the second movie is where the changes get more disappointing the movie begins with paul jessica and the fremen fighting the harkonnens in some battle between the fight with jamis and them getting to sietch tabr which wasnt in the book and felt like it was added for the sake of starting with an action sequence after the fight jessica throws up involuntarily again as a bene gesserit she should have total control over her body and it doesnt make sense for her to do that even though shes pregnantspeaking of jessicas child alia isnt really a character in this at least not like she was in the book i can understand this i had no idea how they were going to handle having a toddler who walks and talks like an adult and kills a man and they handled it by having jessica not give birth during the movie they also dont really explain how alia is preborn which is a piece of information that people who didnt read the book could probably useonce paul and jessica get to sietch tabr things feel a lot different the book describes the interiors of the sietch as being covered with drapery rugs and cushions there are classrooms plastic factories and workshops the movie doesnt show this at all the sietch interior is all smooth carved stone rather than natural rock walls theres no textiles to be seen and essentially only the water reservoir is shown in general the depiction of the fremen in the movie is much worse than the book the fremen are a very tightknit community where people understand each others needs so well that they dont even need to communicate them out loud when jessica feels like she needs a coffee a fremen with coffee simply appears without her giving an order in the movie the fremen are three things good at stabbing people fanatic believers in paul or people who hate the mahdi prophecy and dont believe in paul in the book this dissenting faction against paul isnt really present and chani definitely isnt part of it i can understand that the filmmakers probably added it to help drive home the antihero worship message which a lot of people missed from the book but it could have been executed betteri also disliked how they changed chani in the books she very easily falls for paul and gives him unwavering support and i think its fine that they wanted to make that more nuanced for the movies but i dont like the way they did it the movie wants us to think that they love each other even though it constantly shows chani ranting against the prophecy and disagreeing with pauls actions in the end she leaves paul after he agrees to marry the emperors daughter irulan even though in the book he makes it clear that he is only marrying her for politics refuses to even touch her and has three children with chani instead this ending will definitely complicate things if they do go through with adapting dune messiah to complete the film trilogyim running out of room to write and most people probably wont read this anyway because of the length so ill just say again that i enjoyed the movies and think theyre good but some of the changes they made especially in part two were disappointing and could have been executed better,positive
3,had the pleasure to watch this film in an early screening and was completely blown awaydune part is everything one could ask for from a film of its kind as a big fan of the game of thrones franchise its been a long time since ive encountered this level of worldbuilding and epicness the plot and story development are carried out in an aweinspiring manner throughout the movie progressing at a precise pace toward a spectacular climax that is executed perfectlydenis villeneuve continues to prove himself as one of the most promising filmmakers of our time and if it was up to me i would keep him in these highbudget epic tales such as these since there are very few directors working today that can tackle this genre as good as he does the film received praise from many great filmmakers the most notable being christopher nolan the dark knight trilogy oppenheimer who very accurately compared villeneuves achievement in this film to the empire strikes back of the modern erawould highly recommend to rewatch the first movie in order to appreciate the subtleties and foreshadowing better though its not completely necessary since the movie is pretty selfcontained more specifically one of the most prominent and impressive strengths of the movie is how it stands on its own without relying too heavily on the first part of course for those who really want to enjoy the story theres no real point in watching the second part without having seen the first one however even those who watched it a few years ago and dont remember every little plot detail will be able to catch up very quickly while watching the pt and will understand all the important detailseven the smaller ones nonideally even someone who hasnt watched the first movie at all will greatly enjoy this one as it is very selfcontained despite relying heavily on the first moviean impressive and highly commendable screenplay effort by the writerstimothe chalamet delivers a very impressive and charismatic performance to the point where it seems like this is the role he was born to play zendaya also gives a very good performance with significantly more screen time than in the first movie austin butler manages to be terrifying in the role of the villain rebecca ferguson shines in one of the best performances of the year and javier bardem surprises in a role that sometimes provides the comic relief of the movie in addition to them the film is filled with toptier actors and actresses who all perform their roles amazinglyhans zimmers score is masterful just as youd expect and one step up from the oscar winning and grammy nominated score of pt technical aspects such as vfx production design sound editing etc are all top notch and awardsworthy the action sequences are absolutely mind blowing and sent chills down my spine denis direction is impeccable and the story is absolutely fascinating continuing to develop characters from pt even deeper and introduce new incredible and intriguing charactersin my personal opinion the movie is better than the first part in pretty much every aspect while the first part was excellent it mainly served as a setup and positioning of the pieces for the sequel in part the story reaches its climax with one of the strongest climaxes seen on the big screen in recent decades befitting the complex work frank herbert wrote many years agoi believe and surely hope this movie will be a major player in the next award season belowtheline wins are pretty much guaranteed as of now but i hope it will get some love in abovetheline categories such as direction and even best picture perhaps to break stigmas presented against the fantasyscifi genre in recent years at the academy as a big fan of the genre unless a better competitor will be released later this eligibility period maybe its time for a movie like this to triumph once againwhile the movie serves as a great wrapup to the story introduced in pt in my opinion it could serve as an even better setup to a possible masterpiece in dune messiah which i really hope will get greenlit soondont miss the opportunity to catch this movie on imax since i believe its an historic piece of epicfantasyscifi cinema and a movie that will be remembered as a classic of the genreextremely recommended,positive
4,phenomenal stuff ill probably calm down tomorrow but right now my hearts beating like crazy and my brains screaming its a bloody masterpiece this is one of the few movies that i didnt try to control my expectations beforehand and it still surpassed them in many wayspower over spice is power over all that kinda turned out to be a lie at the end as the movie starts i felt an immediate sense of tension through its score its a cinematic experience i cant imagine feeling the same lying at home in bed watching in headphones the resonating vibrations as the sounds reverberate through the theater created an epic atmospherewhen part one came out people said it was game of thrones in space i wasnt really taken by that as much especially since people said the same about apple tvs foundation series so i just enjoyed the movie as dune and bore no comparisons after watching part two however i see it the world building the politics the epic grandeur of it allhowever the first half of dune part two is pretty grounded and calm delving into the lives of the fremen it almost feels like two distinct movies the first half intricately setting the stage for the climactic third act and reinforcing character connections established in dune part one unlike the part ones focus on lore this movie is more devotiondriven also resembling a political narrative especially knowing of the hidden puppeteers behind the empire the result appears to be an intricate web of schemes involving the empire the witchadvisor womencant spell their names lol and the barons family despite the emperors pulling the strings the barons family still felt like main antagonist to methe second half of the movie is where we see the epic scale of dune the movies not quick paced but you couldnt tell i was absolutely immersed in iti absolutely loved the kind the mahdi is too humble to say he is the mahdi theatre burst out in laughter it felt weird i wasnt expecting any humour its funnier than i expected more lively than the first dune movie id already seen the usulwormriding scene from the dune part one reopening bonus content i was still just as excited and it didnt spoil a thingthe visual brilliance as expected was stunning elevating every aspect the authenticity of the scenes made it feel as if characters were immersed in the environment rather than merely placed against a green screen i loved the portrayal of time passing through pauls changing eyes the longer he stays the bluer his eyes get despite how lively it is the plot while progressing at a measured pace remains engaging drawing attention away from its deliberate slowness it has much more action the battles were absolutely epic i feel like they could have been longer but they still captivated mejessica disappears for a while but just when i thought that she showed up other than paul and zendeya the rest of the cast doesnt really get as much screen time as youd think i loved the babyembryofeatus scenes batista with no mask in the desert while his whole teams suited up was badass i love him in darker roles although i think some moments felt overly animated but it gave an effective contrast to austin butler though i couldnt wait to see what his character was like very fierce intimidating and psycho the girl shivering with the plate in her hands before the gladiator games made me chuckle butler did also sound like the baron at timesdune part two stands steady on its own it felt complete compared to the more introductory feel of part one despite this i still felt like it lays groundwork for dune part threemessiah leaving a sense of setup the movie while feeling like a precursor still manages to provide a more conclusive ending i also think you should watch part one first if that has to be said and the prospect of a backtoback viewing sounds like a fun afternoonone thing i can complain about is stilger i have mixed feelings in part one javier was fierce and was my favorite character in this movie though hes depicted as a religious fanatic for the most part it was done well but i still miss the stilgar who walked up to duke leto atreides with no disregard this felt like a different person still fierce just differentloved austin butler though i wasnt sure what to expect as i tried my best to avoid trailers and teasers apart from the dune part one bonus content that short lady in charge of extracting the water of life had some insane calves on her im extremely jealouswhile i was initially not convinced about timothe chalamet as the lead he truly owns the role in the sequel displayed acting facets id not seen before from him the movie essentially unfolds as paul atreides comingofage story with zendaya delivering an amazing performance the first act focusing on their love story adds depth to the events at the movies end zendayas portrayal transcends the typical love story i hope her role extends into dune messiah and hopefully adds further complexity to her characterwe see paul undergo some transformations from being the son of royalty to experiencing love the narrative takes a surprising turn when he assumes authority in the third act although i liked it it felt a bit rushed but i found solacelogic with the water of life spiritual poison where drinking it resulted in a profound shift in your personality the contrast between the before and after versions of paul as well as jessica is striking so it kinda made sense to mei think watching this movie at home wont do it justice its clearly made for the big screens if you can its pretty epic and i think itll remain memorable as one of s best movies despite only being february i absolutely loved it,positive
5,if you liked or loved the first one the same will apply for this one personally i loved this one even more and i think general audiences will as well so i hope it does well at the box office because i need dune messiah now this is everything i love about going to the movies also hans zimmerfor book readers id say this one takes more liberties than the first but they were changes i liked some for the better even for the most part it still hits the main beats from the book with a few things altered the biggest change being no time jump therefore a certain character doesnt fully appear in the movie contrary to the book though they still use the character in a different way that i liked personallyi know its early in the year but you can lock some oscar nominations for this movie best picture best director best adapted screenplay best editing best cinematography best score best sound best visual effects best costume best production design best makeup and hopefully rebecca ferguson this time for best supporting actress i guess thats pretty much every category now that ive typed it out lol,positive
6,as with the first film the production was beautiful i loved the opening scenes with the harkonnen soldiers the arena fight between austin butler and the last atreides robert yuan actors names was fantastic the battles with the harvesters were phenomenalthe script however left me a little bit disappointed what about the guild navigators and how were the worms used after they came through the pass in the mountains opened up by the atomics there was only one sequence of the initial charge marvelous sequence when the gunships entered but then nothing the sardurkar were not given enough respect in this film there was only one scene that showed them respect and that was when they rose up from the fallen sand and rock debris and stood their ground preparing for the oncoming onslaught instead of panicking other than that i felt the film should have spent more time on tactical combat scenes in what was supposed to be an epic battle at the end of the film maybe trim time off of the other dragged out sequences in the film the first movie did a better job with the sardaukar you actually feared them the epic battle at the end of this movie was less than epic and poor bautista they should not have made him act like such a wimp should have had a more glorious fight even in retreatas much as i like walken i thought he was poorly cast to be emperor the film had a perfect actor for the personality this is villeneuves fault he picked himthe script also fails to emphasize that paul is the kwisatz haderach at the end of the movie pauls initial ability to vaguely see the future comes from the centuries of genetic tinkering of the women of the ben gesserat but after he drinks the water of life and not only survives but develops the ability to see an individuals past as evident by the scenes in the fremen temple where he looks at individuals and describes their past and more clearly sees optional future outcomes and after he actually fulfills all of the prophecies of the fremen the story is true he really is the messiah of arrakis justifying the religion and he really is the kwisatz haderach a man with abilities that no other man has but the film appears to gloss over this shame he is not just some populist charismatic man blamed by the likes of zendayas character for perceived fooling anyone to follow him and falling for the appeal of power and giving up his principles he is more than thatmy critique of the first film was not enough emotion well part does a better job especially after paul survives the water of life and becomes the antihero all hell breaks loose and zendayas character being a more independent women than the film was interesting albeit the combat skills or luck were not realistic unless you buy that the sardaukar were that inept part was a better drama than part but part has some great action sequences besides the disappointments i mentioned earlier not a perfect film for this dune admirer,positive
7,this is the kind of movie that is impossible to do justice just by talking about it it is the kind of experience you had once but you never thought you would get again until this movie proves you wrongthis movie takes the aspects of the first movie and improves upon them in almost every way possible already writing itself into the books of greatest sequels of all timeeverything in this movie was top notch dennis villeneauve proves why he is not only a master of scifi movies but just filmmaking in general this was a demonstration of power in what you can achieve with filmmakingi beg you to watch this on the biggest and best screen you can find this will be an experience that will stick with you foreveri thought the real blockbuster was dead but i was wrong this is the cinematic experience i cravednow i am gonna watch this movie again and maybe again then i am gonna read the books,positive
8,this was a perfect sequel to denis part one it accomplished all the main plot points of the book while delivering stellar performances and visuals that most films only dream of having this film will go down as one of the best in scififantasy and it deserves all the laurels it will be gifted not in the longest time has a franchise and a singular movie captivated me in such a way this story these characters this planet dune lives rentfree in my mind you would be doing yourself a disservice not seeing this film in imax as the soundscapes created and the soundtrack by hans zimmer are so immersive you feel like you are a part of every scene this movie is a masterpiece in storytelling,positive
9,a monumental piece of cinemapaced to perfection uniquely beautiful thoughtprovoking beyond thrilling with unbelievable cinematography and flawless worldbuilding backed up by the best ensemble performance in a blockbuster since fellowship of the ring an entire production on their agame its an incredible technical achievement everyone on set was clearly aware they were working on something special denis villeneuves love for dune shines through every stunning frame part of his adaptation was wonderful but here he improves on it in every way it just doesnt get better than this,positive
10,i have to start by saying that i absolutely loved the first movie i wasnt familiar with the story and i went with zero expectations only to be completely stunned by the masterful artwork that was dune part the music the sound the visuals the entire world and its atmosphere the characters even the plot i found everything beautifully crafted and a breath of fresh air for the scifi genrei am not familiar with the source material so this is considering only the movies and while i had a deep desire to love this second part specially considering the reviews it has been getting and how much i loved the first one i couldnt help but feel a slight disappointment lets start with the positives the cinematography is consistently out of this world it is a visual wonder a mix of practical effects with cgi that blends in perfectly the intense and dramatic sound effects associated with a thrilling and daunting soundtrack delivers and of course the acting is consistently good this time around it was great to see javier bardens character being developed and bringing some great topics to the tablewhat makes me wonder the most to be honest is how different both the first movie and the second are being reviewed by the general public for once its running time is considerable almost hours and somehow it feels strangely rushed its a bit odd to explain but in other words we get so many scenes that feel that dont contribute at all to the narrative and out of the blue we transition to a scene where the main character changes the demeanor entirely without much build up leading to it the movie spends so much time trying to connect paul to the fremens yet it fails to explore his own inner motivations the moment we see his character changing it gives you the feeling that you missed somethingpauls betrayal to chani also feels a bit irrelevant since the chemistry built on the first movie seems to just dissipate the relationship with his mother is also very odd and inconsistent her character becomes dark fairly early in the movie in one moment she is her beloved mother and without much shared screen time he then seems to almost despise her by the end of the film without the audience having a deeper understanding of their relationship dynamicthe newly introduced villains are one dimensional and having austin butlers character seemed pointless there was no goal for him he gets killed off almost instantly alongside with the baron who got so much build from the first movie an a list of actors like florence pugh christopher walken and la seydoux all of them couldve been amazing characters but get zero chance of showing thatan entire plot with pauls sister goes out the drain as well messing with time started to become promising but it leads nowhere i mean i could go on in short the movie had many plot gaps didnt develop the characters properly poorly introduced the newcomers and relied heavily on its outstanding cinematography and soundits a shame because i cant tell you how excited i was to write a praising review but this was my honest opinion which apparently doesnt seem to align with the majoritya lot of scenes drag without much substance to it the highlight of the film was javier bardens character and the messages behind the dangerous of the concept of a messiai am of course hopeful for the third movie maybe with my expectations now lowered it becomes a great experience all over again,positive
